"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"－－"	1	0	1	0	0	0.552	0.59	0.711	0.102	0.045	0.323	-0.304	0.233	-0.046	-0.02	0.926	"1"
"，"	0	13	0	0	0	3.585	3.835	4.621	0.665	0.294	-1.822	6.892	-2.48	-0.296	-0.129	11.619	"2"
";"	0	1	0	0	0	0.276	0.295	0.355	0.051	0.023	-0.14	0.53	-0.191	-0.023	-0.01	0.894	"2"
"；"	3	1	0	0	0	1.103	1.18	1.422	0.205	0.09	1.177	-0.18	-0.763	-0.091	-0.04	2.251	"1"
"："	37	3	0	0	2	11.584	12.39	14.928	2.148	0.95	15.447	-3.372	-8.011	-0.957	0.61	28.397	"1"
"！"	0	1	0	0	0	0.276	0.295	0.355	0.051	0.023	-0.14	0.53	-0.191	-0.023	-0.01	0.894	"2"
"."	5	0	2	0	0	1.931	2.065	2.488	0.358	0.158	1.701	-1.063	-0.284	-0.16	-0.07	3.278	"1"
"（"	26	0	1	0	0	7.447	7.965	9.597	1.381	0.611	13.247	-4.099	-3.949	-0.615	-0.268	22.178	"1"
"）"	24	0	1	0	2	7.447	7.965	9.597	1.381	0.611	10.36	-4.099	-3.949	-0.615	0.907	19.93	"1"
"︶"	0	0	0	1	0	0.276	0.295	0.355	0.051	0.023	-0.14	-0.152	-0.191	1.291	-0.01	1.784	"4"
"＊"	1	0	0	0	0	0.276	0.295	0.355	0.051	0.023	0.559	-0.152	-0.191	-0.023	-0.01	0.935	"1"
"／"	0	1	0	0	0	0.276	0.295	0.355	0.051	0.023	-0.14	0.53	-0.191	-0.023	-0.01	0.894	"2"
"◆"	1	0	0	0	0	0.276	0.295	0.355	0.051	0.023	0.559	-0.152	-0.191	-0.023	-0.01	0.935	"1"
