"","住宅zhù_chè","大厦dà_shà","大楼dà_lóu","高楼ɡāo_lóu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"cluster1",46,152,102,15,97,68,150,1.1427,1.047,315
"cluster2",21,20,27,4,14,27,31,1.2436,1.0491,72
"cluster3",64,2,1,3,17,35,18,0.3792,1.0395,70
"cluster4",0,1,19,0,2,14,4,0.1985,0.8018,20
"cluster5",0,0,23,0,22,1,0,0,0.1788,23
