"","clusterID","专业zhuān_yè","职业zhí_yè","行业hánɡ_yè","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,5,55,0,9,25,26,0.2868,1.0117,60
"2",2,62,16,150,42,121,65,0.816,1.0056,228
"3",3,49,29,16,26,33,35,1.0038,1.0908,94
"4",4,17,0,0,6,4,7,0,1.0734,17
"5",5,71,22,8,20,60,21,0.7806,0.9566,101
