"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"后母"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"向"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"向着"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"否定"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"呼唤"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"和亲"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"和信心"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"和平"	0	6	0	0	0	0	0	0	0.522	1.429	0.132	1.505	0.104	1.847	0.166	0.295	-0.237	3.739	-0.058	-0.752	-0.046	-0.959	-0.073	-0.131	5.995	"2"
"哥"	0	0	0	0	0	0	0	3	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	-0.354	-0.029	-0.376	-0.023	-0.48	-0.036	3.926	5.343	"8"
"哥伦"	0	0	0	0	0	0	0	1	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	1.309	1.782	"8"
"哥伦比亚"	0	0	0	0	0	0	0	7	0.609	1.667	0.154	1.756	0.121	2.155	0.193	0.344	-0.277	-0.827	-0.068	-0.878	-0.053	-1.119	-0.085	9.16	12.467	"8"
"善于"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"嚣张"	0	0	0	0	0	2	0	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	-0.079	-0.236	-0.019	-0.251	-0.015	1.023	-0.024	-0.044	1.691	"6"
"四海帮"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"四野党"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"回教"	0	0	0	0	1	2	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	-0.354	-0.029	-0.376	1.292	0.646	-0.036	-0.066	2.918	"5"
"回教法"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"团体"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"团结"	0	5	0	0	0	2	0	0	0.609	1.667	0.154	1.756	0.121	2.155	0.193	0.344	-0.277	1.985	-0.068	-0.878	-0.053	-0.201	-0.085	-0.153	3.7	"2"
"团结一致"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"团队"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"国会"	0	0	0	0	0	3	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	-0.354	-0.029	-0.376	-0.023	1.535	-0.036	-0.066	2.538	"6"
"国内"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"国外"	0	0	0	0	1	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	1.762	-0.16	-0.012	-0.022	2.249	"5"
"国民党"	0	2	0	0	0	1	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	0.844	-0.029	-0.376	-0.023	0.175	-0.036	-0.066	1.668	"2"
"国民大会"	0	0	0	0	0	0	0	1	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	1.309	1.782	"8"
"国民经济"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"国界"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"国都"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"国防"	5	2	0	0	0	0	0	0	0.609	1.667	0.154	1.756	0.121	2.155	0.193	0.344	4.045	0.28	-0.068	-0.878	-0.053	-1.119	-0.085	-0.153	6.681	"1"
"图谋"	0	0	0	0	0	3	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	-0.354	-0.029	-0.376	-0.023	1.535	-0.036	-0.066	2.538	"6"
"在野"	0	1	0	0	1	7	0	0	0.783	2.144	0.198	2.257	0.156	2.771	0.248	0.442	-0.356	-0.482	-0.087	-1.129	0.837	2.296	-0.109	-0.197	5.493	"6"
"在野党"	0	1	0	0	0	2	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	0.253	-0.029	-0.376	-0.023	0.646	-0.036	-0.066	1.548	"6"
"地面"	0	0	0	2	0	0	0	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	-0.079	-0.236	-0.019	1.201	-0.015	-0.32	-0.024	-0.044	1.938	"4"
"均衡"	0	0	0	0	0	1	1	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	-0.079	-0.236	-0.019	-0.251	-0.015	0.283	1.264	-0.044	2.191	"7"
"坚决"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"坚定"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"埃斯特拉达"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"培养"	1	1	0	0	0	0	0	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	0.779	0.377	-0.019	-0.251	-0.015	-0.32	-0.024	-0.044	1.829	"1"
"基地"	0	0	0	0	0	2	0	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	-0.079	-0.236	-0.019	-0.251	-0.015	1.023	-0.024	-0.044	1.691	"6"
"基督教"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"塌落"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"塔利班"	0	1	0	0	0	7	0	0	0.696	1.905	0.176	2.007	0.139	2.463	0.221	0.393	-0.316	-0.401	-0.077	-1.003	-0.061	2.814	-0.097	-0.175	4.944	"6"
"填补"	0	0	1	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	1.658	-0.125	-0.008	-0.16	-0.012	-0.022	2.143	"3"
"境内"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
