"","clusterID","指挥zhī_huī","领队lǐnɡ_duì","导演dǎo_yǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,155,0,0,54,83,18,1,0.4216,155
"2",2,0,115,0,4,10,101,1,0.7801,115
"3",3,0,2,138,64,9,67,0.9718,0.4421,140
"4",4,46,24,20,26,18,46,0.3817,0.3847,90
