"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"求和"	0	0	1	0	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	1.163	-0.036	-0.018	-0.158	-0.009	-0.113	1.62	"3"
"汇聚"	0	0	1	0	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	1.163	-0.036	-0.018	-0.158	-0.009	-0.113	1.62	"3"
"汇集"	0	0	2	0	0	0	0	0	0.078	0.434	0.137	0.159	0.083	0.609	0.041	0.458	-0.035	-0.213	2.326	-0.072	-0.037	-0.315	-0.018	-0.226	3.242	"3"
"沙龙"	0	0	0	1	0	1	0	0	0.078	0.434	0.137	0.159	0.083	0.609	0.041	0.458	-0.035	-0.213	-0.062	0.815	-0.037	0.287	-0.018	-0.226	1.693	"4"
"沟通"	0	0	0	0	0	1	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	0.516	-0.009	-0.113	0.846	"6"
"法国"	0	0	0	2	0	1	0	0	0.117	0.651	0.206	0.239	0.124	0.913	0.061	0.688	-0.052	-0.319	-0.093	1.744	-0.055	0.178	-0.027	-0.339	2.807	"4"
"法国人"	0	0	0	0	0	1	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	0.516	-0.009	-0.113	0.846	"6"
"法案"	0	0	0	0	0	1	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	0.516	-0.009	-0.113	0.846	"6"
"法轮"	0	0	0	0	0	2	0	0	0.078	0.434	0.137	0.159	0.083	0.609	0.041	0.458	-0.035	-0.213	-0.062	-0.072	-0.037	1.033	-0.018	-0.226	1.696	"6"
"注意到"	0	0	0	1	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	1.099	-0.018	-0.158	-0.009	-0.113	1.551	"4"
"注重"	0	0	0	0	0	0	0	1	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	-0.158	-0.009	0.64	1.015	"8"
"泰国"	0	0	0	0	0	1	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	0.516	-0.009	-0.113	0.846	"6"
"洋相"	0	1	0	0	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	0.663	-0.031	-0.036	-0.018	-0.158	-0.009	-0.113	1.045	"2"
"流"	0	0	0	0	0	1	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	0.516	-0.009	-0.113	0.846	"6"
"流水"	0	0	0	0	0	0	0	1	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	-0.158	-0.009	0.64	1.015	"8"
"测验"	19	0	0	0	0	0	0	0	0.743	4.125	1.306	1.514	0.785	5.785	0.389	4.354	26.747	-2.02	-0.587	-0.685	-0.348	-2.996	-0.171	-2.148	35.702	"1"
"浑"	0	0	0	0	0	0	0	1	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	-0.036	-0.018	-0.158	-0.009	0.64	1.015	"8"
"浪潮"	1	0	0	0	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	1.408	-0.106	-0.031	-0.036	-0.018	-0.158	-0.009	-0.113	1.879	"1"
"海内外"	0	0	0	1	0	0	0	0	0.039	0.217	0.069	0.08	0.041	0.304	0.02	0.229	-0.017	-0.106	-0.031	1.099	-0.018	-0.158	-0.009	-0.113	1.551	"4"
