"","clusterID","时代shí_dài","时期shí_jī","期间jī_jiān","阶段jiē_duàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,5,9,120,3,51,55,31,0.7733,0.351,137
"2",2,4,1,52,0,13,34,10,0.8375,0.4386,57
"3",3,4,7,4,66,17,43,21,0.6763,0.3931,81
"4",4,0,0,11,0,1,10,0,1,0.8347,11
"5",5,83,64,33,34,57,96,61,0.2889,0.3534,214
