"","clusterID","民意mín_yī","舆论yú_lún","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,118,1,48,31,40,0.9833,0.3435,119
"2",2,29,0,20,6,3,1,0.5291,29
"3",3,0,44,5,33,6,1,0.594,44
"4",4,179,129,131,74,103,0.5132,0.3505,308
