"","clusterID","听众tīng_yín","观众ɡuān_yín","读者dòu_zhě","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,15,145,16,14,134,0.4182,0.6022,164
"2",2,1,44,11,8,19,29,0.581,0.9855,56
"3",3,15,236,29,54,76,150,0.5357,1.0057,280
