"","clusterID","基金jī_jīn","资金zī_jīn","经费jīnɡ_fèi","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,25,1,0,22,1,3,0.92603550295858,0.730769230769231,26
"2",2,15,0,0,3,12,0,1,0.68,15
"3",3,47,63,2,51,28,33,0.492825255102041,0.356664540816327,112
"4",4,9,0,0,1,0,8,1,0.802469135802469,9
"5",5,26,1,0,8,10,9,0.928669410150891,0.336076817558299,27
"6",6,14,0,0,3,0,11,1,0.663265306122449,14
"7",7,15,54,22,29,41,21,0.43774906412269,0.357807028136698,91
"8",8,1,2,28,26,3,2,0.8210197710718,0.716961498439126,31
"9",9,0,13,0,0,10,3,1,0.644970414201184,13
"10",10,52,70,40,63,67,32,0.350708733424783,0.361301630848956,162
