"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"14周年"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"2001年"	0	1	0	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	1.127	-0.148	-0.065	-0.041	-0.024	-0.089	1.573	"2"
"200多"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"23周年"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"2881258"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"2万"	0	0	0	0	0	1	1	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	-0.296	-0.131	-0.082	0.977	0.474	2.186	"6"
"3000"	0	0	0	0	0	2	0	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	-0.296	-0.131	-0.082	2.533	-0.177	3.445	"6"
"3万"	0	0	0	0	0	0	1	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	-0.041	-0.024	0.733	1.124	"7"
"50"	1	0	0	1	0	0	0	0.334	0.149	0.578	0.28	0.181	0.108	0.37	0.514	-0.067	-0.296	0.585	-0.082	-0.048	-0.177	1.769	"4"
"5000"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"5000多"	0	0	0	0	0	0	1	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	-0.041	-0.024	0.733	1.124	"7"
"500多"	0	0	1	0	0	0	1	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	0.306	-0.131	-0.082	-0.048	0.474	1.267	"7"
"50周年"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"7000"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"891011"	0	0	0	0	1	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	1.044	-0.024	-0.089	1.483	"5"
"891109"	0	0	0	0	0	0	2	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	-0.296	-0.131	-0.082	-0.048	1.467	2.25	"7"
"891120"	1	0	0	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	0.777	-0.034	-0.148	-0.065	-0.041	-0.024	-0.089	1.178	"1"
"900126"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"950周年"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"FashionConnection"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"FED"	1	0	0	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	0.777	-0.034	-0.148	-0.065	-0.041	-0.024	-0.089	1.178	"1"
"G8"	0	0	2	0	0	0	0	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	1.078	-0.131	-0.082	-0.048	-0.177	1.742	"3"
"一中"	2	0	0	0	0	0	0	0.334	0.149	0.578	0.28	0.181	0.108	0.37	1.553	-0.067	-0.296	-0.131	-0.082	-0.048	-0.177	2.354	"1"
"一举两得"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"一九八六年"	0	0	0	0	0	0	1	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	-0.041	-0.024	0.733	1.124	"7"
"一再"	1	0	0	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	0.777	-0.034	-0.148	-0.065	-0.041	-0.024	-0.089	1.178	"1"
"一同"	0	0	2	0	0	0	0	0.334	0.149	0.578	0.28	0.181	0.108	0.37	-0.159	-0.067	1.078	-0.131	-0.082	-0.048	-0.177	1.742	"3"
"一宋戈"	0	0	0	1	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	0.855	-0.041	-0.024	-0.089	1.27	"4"
"一百万"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"一百八十"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"一百零"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"丁州"	0	0	0	0	0	3	0	0.502	0.224	0.867	0.419	0.271	0.162	0.554	-0.238	-0.101	-0.445	-0.196	-0.123	3.799	-0.266	5.168	"6"
"七"	2	0	0	0	1	0	2	0.836	0.373	1.445	0.699	0.452	0.271	0.924	0.705	-0.168	-0.741	-0.327	0.423	-0.121	0.635	3.12	"3"
"七．一三"	0	0	0	0	0	0	1	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	-0.041	-0.024	0.733	1.124	"7"
"七一"	0	0	0	0	1	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	1.044	-0.024	-0.089	1.483	"5"
"七九"	0	0	0	0	0	1	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	-0.148	-0.065	-0.041	1.266	-0.089	1.722	"6"
"七十"	0	0	1	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	-0.034	0.539	-0.065	-0.041	-0.024	-0.089	0.871	"3"
"万人大"	2	0	0	0	0	1	0	0.502	0.224	0.867	0.419	0.271	0.162	0.554	1.128	-0.101	-0.445	-0.196	-0.123	0.813	-0.266	3.072	"1"
"三三两两"	0	1	0	0	0	0	0	0.167	0.075	0.289	0.14	0.09	0.054	0.185	-0.079	1.127	-0.148	-0.065	-0.041	-0.024	-0.089	1.573	"2"
