"","clusterID","姿态zī_tài","态度tài_dù","立场lì_chánɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,15,158,79,66,30,0.822628571428571,0.375412244897959,175
"2",2,0,29,2,12,9,10,0.879292403746098,0.338189386056191,31
"3",3,2,8,5,3,0,12,0.413333333333333,0.68,15
"4",4,0,12,3,0,7,8,0.68,0.502222222222222,15
"5",5,0,0,10,4,0,6,1,0.52,10
"6",6,8,101,36,61,27,57,0.54986920332937,0.366183115338882,145
"7",7,10,37,0,14,17,16,0.665006790402897,0.335445903123585,47
"8",8,0,8,0,1,1,6,1,0.59375,8
"9",9,8,32,14,18,8,28,0.440329218106996,0.401920438957476,54
