"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"冷战期"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"凌汛"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"几十"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"出现"	1	0	1	12	1.983	0.643	1.956	9.418	-0.409	-0.286	-0.4	0.943	2.038	"4"
"出现戏"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"分手"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"分摊"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"分明"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"分析"	2	0	0	3	0.708	0.23	0.699	3.364	0.825	-0.102	-0.327	-0.278	1.532	"1"
"分流"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"切合"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"刘江"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
"制导"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"制度"	0	0	0	5	0.708	0.23	0.699	3.364	-0.332	-0.102	-0.327	0.861	1.622	"4"
"刻"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"刻不容缓"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"前所未有"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"前身"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"剧"	0	0	2	0	0.283	0.092	0.279	1.345	-0.133	-0.041	1.71	-0.97	2.854	"3"
"劝说"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"加上"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"加以"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"加剧"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"加速"	0	1	0	1	0.283	0.092	0.279	1.345	-0.133	1.047	-0.131	-0.262	1.573	"2"
"劣势"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"动人"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"动作"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"动态"	0	0	2	2	0.567	0.184	0.559	2.691	-0.265	-0.082	1.016	-0.402	1.765	"3"
"努"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"势"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"势将"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"势必"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"勇于"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"化学"	1	0	2	0	0.425	0.138	0.419	2.018	0.435	-0.061	1.275	-1.455	3.226	"4"
"化石"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"北县"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"北极"	0	2	0	0	0.283	0.092	0.279	1.345	-0.133	2.676	-0.131	-0.97	3.91	"2"
"北疆"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"千差万别"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"升高"	0	1	1	1	0.425	0.138	0.419	2.018	-0.199	0.881	0.44	-0.6	2.12	"2"
"华社所"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"单一"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"南下"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"南斯拉夫"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"南极"	0	0	1	1	0.283	0.092	0.279	1.345	-0.133	-0.041	0.585	-0.262	1.021	"3"
"卡片"	0	0	2	0	0.283	0.092	0.279	1.345	-0.133	-0.041	1.71	-0.97	2.854	"3"
"历史性"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"压力"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"压迫"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"原"	0	0	1	1	0.283	0.092	0.279	1.345	-0.133	-0.041	0.585	-0.262	1.021	"3"
"原则性"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"原有"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"原本"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"县不"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"县民"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"参照"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"及其"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"及时"	0	0	2	3	0.708	0.23	0.699	3.364	-0.332	-0.102	0.835	-0.278	1.547	"3"
"反倒"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"反常"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"反应"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"反映"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"反观"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"反馈"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
"发"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"发光"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"发展"	4	0	0	14	2.549	0.827	2.515	12.109	0.611	-0.368	-1.176	0.606	2.761	"3"
"发生"	57	2	0	2	8.639	2.802	8.522	41.036	42.928	-0.333	-3.987	-25.695	72.943	"1"
"取向"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"变为"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"变化"	2	3	0	9	1.983	0.643	1.956	9.418	0.215	1.618	-0.915	-0.297	3.045	"2"
"变大"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"变小"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"变迁"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"口气"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"可以"	0	0	0	5	0.708	0.23	0.699	3.364	-0.332	-0.102	-0.327	0.861	1.622	"4"
"可喜"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"可能"	0	0	0	4	0.567	0.184	0.559	2.691	-0.265	-0.082	-0.261	0.689	1.297	"4"
"可言"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"台海"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
