"","clusterID","人们rén_men","人士rén_shì","人类rén_lèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,11,42,8,21,15,25,0.8323,1.0776,61
"2",2,103,21,80,14,94,96,0.9462,0.8956,204
"3",3,0,23,0,10,11,2,0,0.9273,23
"4",4,0,13,0,2,5,6,0,1.0123,13
"5",5,1,130,0,70,39,22,0.0448,0.9952,131
"6",6,0,13,0,0,6,7,0,0.6902,13
"7",7,1,54,0,11,28,16,0.0909,1.0248,55
