"","clusterID","疾病jí_bìnɡ","病症bìnɡ_zhēnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,83,0,12,62,9,0,0.7384,83
"2",2,31,0,23,3,5,0,0.7417,31
"3",3,345,41,131,154,101,0.3385,1.0842,386
