"","clusterID","贸易mào_yì","交易jiāo_yì","商业shānɡ_yè","买卖mǎi_mài","生意shēnɡ_yī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,23,0,0,0,0,7,2,14,1,0.47069943289225,23
"2",2,127,7,19,0,0,38,77,38,0.706523132128668,0.376650006407792,153
"3",3,24,38,25,4,0,22,39,30,0.321338002656684,0.350803043110735,91
"4",4,21,19,36,8,50,35,34,65,0.259634662508354,0.367899309423034,134
"5",5,0,2,24,0,0,10,11,5,0.857988165680474,0.363905325443787,26
"6",6,1,55,1,15,1,32,14,27,0.610433477200225,0.365734659410771,73
