"","clusterID","夜间yè_jiān","晚上wǎn_shǎnɡ","晚间wǎn_jiān","夜晚yè_wǎn","夜里yè_lǐ","深夜shēn_yè","黑夜hēi_yè","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,98,2,0,0,0,0,5,3,93,0.1526,0.3292,101
"2",2,36,88,9,16,5,23,7,40,58,86,1.5142,1.0512,184
"3",3,2,68,82,2,0,11,0,138,17,10,1.0003,0.5535,165
"4",4,0,31,5,0,0,14,0,24,8,18,0.8831,1.0133,50
