"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"【"	0	0	0	0	0	0	2	0.35	0.077	0.169	0.113	0.084	0.264	0.944	-0.167	-0.034	-0.076	-0.051	-0.037	-0.123	0.652	1.14	"7"
"】"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"＊"	0	0	0	0	0	0	2	0.35	0.077	0.169	0.113	0.084	0.264	0.944	-0.167	-0.034	-0.076	-0.051	-0.037	-0.123	0.652	1.14	"7"
"0235"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"168"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"1968"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"1968年"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"2.8"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
"2013年"	0	0	0	0	0	1	0	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	0.88	-0.277	1.339	"6"
"25000"	0	0	0	0	0	0	1	0.175	0.038	0.084	0.057	0.042	0.132	0.472	-0.083	-0.017	-0.038	-0.025	-0.019	-0.061	0.326	0.569	"7"
