"","clusterID","生命shēnɡ_mìnɡ","生活shēnɡ_ɡuō","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,13,0,6,1,6,1,0.432,13
"2",2,36,4,7,20,13,0.82,0.3862,40
"3",3,50,90,36,45,59,0.5408,0.347,140
"4",4,33,38,23,27,21,0.5025,0.337,71
"5",5,0,17,5,3,9,1,0.3979,17
"6",6,0,15,2,10,3,1,0.5022,15
"7",7,25,179,27,132,45,0.7849,0.4849,204
