"","clusterID","演员yǎn_yuán","艺人yì_rén","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,35,67,29,17,56,0.549211841599385,0.410034602076125,102
"2",2,59,114,33,17,123,0.55053626917037,0.551538641451435,173
"3",3,22,1,9,4,10,0.916824196597354,0.372400756143667,23
"4",4,35,15,7,16,27,0.58,0.4136,50
"5",5,13,18,11,0,20,0.513007284079084,0.542143600416233,31
"6",6,101,20,44,8,69,0.724062564032511,0.461785397172324,121
