"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,94,4,11,77,10,0.9217,0.6404,98
"2",2,202,200,114,146,142,0.5,0.3371,402
