"","clusterID","轨道ɡuǐ_dǎo","铁路tiě_lù","铁轨tiě_ɡuǐ","铁道tiě_dǎo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,28,237,6,4,73,170,32,0.5058,0.8997,275
"2",2,45,0,0,0,9,31,5,0,0.8228,45
"3",3,2,54,0,3,6,51,2,0.3472,0.4731,59
"4",4,42,55,9,15,41,53,27,1.1778,1.063,121
