"","clusterID","房屋fánɡ_wū","屋子wū_zǐ","房子fánɡ_zǐ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,37,0,0,4,1,32,1,0.760409057706355,37
"2",2,117,1,10,61,24,43,0.8416748046875,0.3751220703125,128
"3",3,9,34,82,11,19,95,0.509504,0.608448,125
"4",4,28,0,0,6,19,3,1,0.517857142857143,28
"5",5,113,9,60,49,69,64,0.496618765849535,0.339874411302983,182
