"","clusterID","地位de_lì","身份juān_bīn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,91,44,22,26,0.9785,0.3658,92
"2",2,45,112,51,39,67,0.5911,0.3493,157
"3",3,219,32,71,106,74,0.7775,0.3453,251
