"","clusterID","数字shǔ_zì","数目shǔ_mù","数量shǔ_liánɡ","数额shǔ_é","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,75,1,0,0,17,29,30,0.0701,1.0695,76
"2",2,24,42,60,29,37,60,58,1.3236,1.0772,155
"3",3,134,28,83,24,54,145,70,1.1611,1.0058,269
