"","clusterID","读者dòu_zhě","听众tīng_yín","观众ɡuān_yín","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,23,0,0,2,21,0,0,0.2954,23
"2",2,122,4,15,12,113,16,0.4647,0.634,141
"3",3,11,1,44,19,29,8,0.581,0.9855,56
"4",4,0,0,75,32,28,15,0,1.0531,75
"5",5,9,6,74,21,44,24,0.567,1.0424,89
"6",6,20,9,87,23,78,15,0.7172,0.8522,116
