"","clusterID","导弹dǎo_dàn","飞弹fēi_dàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,66,56,62,31,29,0.5034,0.3793,122
"2",2,49,47,47,13,36,0.5002,0.3987,96
"3",3,203,79,88,106,88,0.5967,0.336,282
