"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"SumAbsDev"	"LargestDev"
"﹐"	0	0	1	2	0	3	0	0	0	0	0.506	0.88	0.78	0.583	0.617	0.848	0.184	0.257	0.589	0.755	-0.229	-0.413	0.247	0.963	-0.283	1.393	-0.081	-0.114	-0.269	-0.351	4.343	"6"
"."	2	2	2	0	1	3	0	0	0	12	1.854	3.228	2.86	2.138	2.263	3.11	0.673	0.944	2.159	2.77	0.249	-0.451	-0.355	-0.977	-0.49	-0.207	-0.297	-0.419	-0.987	5.523	9.955	"10"
"”"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"006"	0	1	0	0	0	1	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	0.566	-0.121	-0.089	-0.094	0.58	-0.027	-0.038	-0.09	-0.117	1.798	"6"
"10余"	0	1	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	0.833	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.224	"2"
"12"	0	0	2	0	1	3	1	0	1	3	0.927	1.614	1.43	1.069	1.132	1.555	0.337	0.472	1.08	1.385	-0.42	-0.758	0.368	-0.488	-0.164	0.709	0.538	-0.21	-0.152	0.818	4.625	"10"
"12时"	0	0	0	1	0	0	0	1	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	0.733	-0.094	-0.132	-0.027	1.076	-0.09	-0.117	2.604	"8"
"13"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"14"	0	1	1	0	0	2	0	0	3	1	0.674	1.174	1.04	0.778	0.823	1.131	0.245	0.343	0.785	1.007	-0.306	-0.176	-0.142	-0.355	-0.377	0.501	-0.108	-0.152	1.44	-0.135	3.692	"9"
"14203"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"15分"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"1人"	0	0	0	0	0	0	0	1	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	1.367	-0.045	-0.058	1.808	"8"
"21"	0	0	0	0	2	0	0	0	1	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	-0.133	1.529	-0.199	-0.041	-0.057	0.574	-0.175	3.211	"5"
"24"	0	1	0	0	0	0	0	1	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	0.566	-0.121	-0.089	-0.094	-0.132	-0.027	1.076	-0.09	-0.117	2.388	"8"
"243"	0	0	0	0	0	0	1	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	1.514	-0.019	-0.045	-0.058	1.96	"7"
"25"	0	0	0	0	0	0	0	0	0	4	0.337	0.587	0.52	0.389	0.411	0.565	0.122	0.172	0.393	0.504	-0.153	-0.276	-0.242	-0.178	-0.189	-0.265	-0.054	-0.076	-0.179	3.6	5.212	"10"
"253"	0	0	0	0	0	0	0	0	1	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	1.008	-0.058	1.423	"9"
"27日电"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"28"	0	1	0	2	0	0	0	0	0	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	0.422	-0.181	1.577	-0.141	-0.199	-0.041	-0.057	-0.135	-0.175	3.043	"4"
"2万2862"	0	0	0	0	0	0	1	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	1.514	-0.019	-0.045	-0.058	1.96	"7"
"30"	1	1	0	1	1	2	0	1	1	1	0.758	1.321	1.17	0.875	0.926	1.272	0.275	0.386	0.883	1.133	0.262	-0.214	-0.544	0.221	0.205	0.431	-0.122	0.487	0.218	-0.165	2.869	"3"
"309"	0	0	0	0	0	1	0	0	0	2	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	-0.133	-0.141	0.435	-0.041	-0.057	-0.135	1.361	2.806	"10"
"37"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"40分"	0	1	0	0	0	0	1	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	0.566	-0.121	-0.089	-0.094	-0.132	1.22	-0.038	-0.09	-0.117	2.543	"7"
"425"	0	0	0	0	0	0	1	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	1.514	-0.019	-0.045	-0.058	1.96	"7"
"43"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"45"	0	0	0	2	0	1	0	0	0	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	1.577	-0.141	0.435	-0.041	-0.057	-0.135	-0.175	3.064	"4"
"476"	0	0	0	0	0	0	0	1	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	1.367	-0.045	-0.058	1.808	"8"
"4人"	0	0	0	0	0	2	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	-0.089	-0.094	1.699	-0.027	-0.038	-0.09	-0.117	2.489	"6"
"4号线"	0	0	2	0	0	0	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	1.772	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	-0.117	2.573	"3"
"53"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"5人"	0	0	0	0	0	0	0	0	1	1	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	-0.089	-0.094	-0.132	-0.027	-0.038	0.729	0.627	2.071	"9"
"5月"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"6.19"	0	0	0	0	1	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	0.988	-0.066	-0.014	-0.019	-0.045	-0.058	1.401	"5"
"61"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"6万多"	0	0	0	0	0	0	0	0	1	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	1.008	-0.058	1.423	"9"
"7"	0	0	0	0	0	0	1	0	0	4	0.421	0.734	0.65	0.486	0.514	0.707	0.153	0.215	0.491	0.63	-0.191	-0.345	-0.302	-0.222	-0.236	-0.331	0.842	-0.095	-0.224	2.947	5.735	"10"
"800"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"891102"	0	1	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	0.833	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.224	"2"
"891207"	0	0	0	0	1	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	0.988	-0.066	-0.014	-0.019	-0.045	-0.058	1.401	"5"
"891209"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"9"	0	0	1	0	2	0	0	0	0	1	0.337	0.587	0.52	0.389	0.411	0.565	0.122	0.172	0.393	0.504	-0.153	-0.276	0.369	-0.178	1.259	-0.265	-0.054	-0.076	-0.179	0.381	3.19	"5"
"90"	0	0	0	0	0	0	0	0	1	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	1.008	-0.058	1.423	"9"
"96.43"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"9死"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"Q"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"SQ"	0	1	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	0.833	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.224	"2"
"一旦"	0	0	0	2	0	0	0	0	1	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	1.577	-0.141	-0.199	-0.041	-0.057	0.574	-0.175	3.267	"4"
"一起"	0	1	0	2	3	3	0	0	5	0	1.18	2.054	1.82	1.361	1.44	1.979	0.429	0.601	1.374	1.763	-0.535	-0.432	-0.847	0.397	0.774	0.499	-0.189	-0.267	2.069	-0.818	6.827	"9"
"一连串"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"万一"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"三五八"	0	1	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	0.833	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.224	"2"
"三百零九"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"上升"	0	0	1	0	0	1	0	0	1	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	0.467	-0.133	-0.141	0.435	-0.041	-0.057	0.574	-0.175	2.345	"9"
"上半年"	0	0	2	0	0	0	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	1.772	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	-0.117	2.573	"3"
"上当局"	0	0	0	1	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	1.012	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.428	"4"
"上报"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"上月"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"下班"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"下落"	0	0	0	1	0	0	0	0	0	1	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	0.733	-0.094	-0.132	-0.027	-0.038	-0.09	0.627	2.076	"4"
"不幸"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"不当"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"不怠"	0	1	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	0.833	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.224	"2"
"不明"	0	0	0	1	0	0	0	0	0	1	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	0.733	-0.094	-0.132	-0.027	-0.038	-0.09	0.627	2.076	"4"
"不治"	0	0	0	0	0	0	0	1	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	1.367	-0.045	-0.058	1.808	"8"
"不知所措"	0	0	0	0	0	0	0	0	1	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	1.008	-0.058	1.423	"9"
"专家组"	1	1	1	0	0	0	0	0	0	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	0.634	0.422	0.467	-0.133	-0.141	-0.199	-0.041	-0.057	-0.135	-0.175	2.404	"1"
"世界"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"东海村"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"东莞市"	0	0	0	2	1	2	0	0	0	0	0.421	0.734	0.65	0.486	0.514	0.707	0.153	0.215	0.491	0.63	-0.191	-0.345	-0.302	1.111	0.378	0.826	-0.068	-0.095	-0.224	-0.292	3.832	"4"
"东都"	0	0	0	0	0	0	0	0	0	2	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	1.8	2.605	"10"
"东风"	0	0	0	0	0	0	0	0	0	1	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	0.9	1.302	"10"
"严"	0	0	0	0	0	0	0	0	0	2	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	1.8	2.605	"10"
"严重"	5	1	2	4	2	3	0	2	2	0	1.769	3.081	2.73	2.041	2.16	2.969	0.643	0.901	2.061	2.644	1.56	-0.783	-0.324	0.851	-0.2	0.232	-0.284	0.644	-0.181	-1.227	6.286	"1"
"严防"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"丧生"	0	1	0	0	0	6	0	0	0	0	0.59	1.027	0.91	0.68	0.72	0.99	0.214	0.3	0.687	0.881	-0.268	-0.139	-0.423	-0.311	-0.33	4.309	-0.095	-0.133	-0.314	-0.409	6.731	"6"
"中国海军"	0	0	0	0	0	1	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	-0.044	-0.047	0.85	-0.014	-0.019	-0.045	-0.058	1.244	"6"
"中断"	0	1	1	0	0	0	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	0.566	0.614	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	-0.117	1.843	"3"
"中新社"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"中正机场"	0	2	0	0	0	0	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	1.667	-0.121	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	-0.117	2.451	"2"
"中毒"	0	0	0	2	0	1	0	0	0	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	1.577	-0.141	0.435	-0.041	-0.057	-0.135	-0.175	3.064	"4"
"中立"	0	0	0	1	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	-0.06	1.012	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.428	"4"
"临头"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"丹江"	0	0	0	0	0	2	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	-0.138	-0.121	-0.089	-0.094	1.699	-0.027	-0.038	-0.09	-0.117	2.489	"6"
"丹麦"	0	0	0	0	2	0	0	1	0	0	0.253	0.44	0.39	0.292	0.309	0.424	0.092	0.129	0.294	0.378	-0.115	-0.207	-0.181	-0.133	1.529	-0.199	-0.041	0.909	-0.135	-0.175	3.624	"5"
"为"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"主因"	1	0	0	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	1.074	-0.069	-0.06	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.496	"1"
"义务"	0	0	1	0	0	0	0	0	0	0	0.084	0.147	0.13	0.097	0.103	0.141	0.031	0.043	0.098	0.126	-0.038	-0.069	0.886	-0.044	-0.047	-0.066	-0.014	-0.019	-0.045	-0.058	1.286	"3"
"之中"	0	2	0	0	0	0	0	0	0	0	0.169	0.293	0.26	0.194	0.206	0.283	0.061	0.086	0.196	0.252	-0.076	1.667	-0.121	-0.089	-0.094	-0.132	-0.027	-0.038	-0.09	-0.117	2.451	"2"
"乘客"	1	0	1	0	0	1	2	0	0	0	0.421	0.734	0.65	0.486	0.514	0.707	0.153	0.215	0.491	0.63	0.449	-0.345	0.3	-0.222	-0.236	0.273	2.055	-0.095	-0.224	-0.292	4.491	"7"
