"","clusterID","家族ɡū_còu","氏族jīnɡ_còu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,47,0,28,2,17,0,0.8107,47
"2",2,56,0,5,3,48,0,0.5046,56
"3",3,14,0,1,0,13,0,0.2573,14
"4",4,318,11,85,107,137,0.1465,1.0798,329
"5",5,31,0,7,5,19,0,0.9303,31
"6",6,23,0,2,10,11,0,0.9273,23
