"","clusterID","裁判cái_pàn","评价pín_jià","判断pàn_duàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,109,0,0,4,56,49,1,0.4674,109
"2",2,0,46,0,3,36,7,1,0.6399,46
"3",3,0,5,28,4,15,14,0.7429,0.4013,33
"4",4,40,66,118,62,82,80,0.3962,0.3382,224
"5",5,0,25,12,8,23,6,0.5617,0.4595,37
"6",6,0,22,0,0,21,1,1,0.9132,22
"7",7,1,28,0,10,12,7,0.9334,0.3484,29
