"","clusterID","士兵shì_bīnɡ","军人jūn_rén","战士zhàn_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,68,0,0,1,60,7,0,0.4065,68
"2",2,109,27,5,30,96,15,0.6339,0.8294,141
"3",3,0,16,0,0,15,1,0,0.2338,16
"4",4,54,24,1,10,46,23,0.6773,0.9358,79
"5",5,1,12,2,6,8,1,0.6277,0.8823,15
"6",6,2,8,40,2,35,13,0.6005,0.7287,50
"7",7,7,21,1,6,7,16,0.6929,0.9972,29
"8",8,0,14,0,1,1,12,0,0.5091,14
"9",9,30,41,17,30,32,26,1.0403,1.095,88
