"","clusterID","过程ɡuō_chénɡ","手续shǒu_xù","程序chénɡ_xù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,136,0,0,37,65,34,1,0.3649,136
"2",2,125,5,17,44,45,58,0.7376,0.339,147
"3",3,34,43,140,102,53,62,0.48,0.3622,217
