"","clusterID","仪式yí_shì","典礼diǎn_lǐ","祭典jì_diǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,61,0,52,7,9,0.8153,0.6129,68
"2",2,40,7,0,15,1,31,0.7465,0.5373,47
"3",3,84,4,1,30,27,32,0.8929,0.3349,89
"4",4,197,98,1,119,136,41,0.5526,0.3919,296
