"","clusterID","大楼dà_lóu","大厦dà_shà","高楼ɡāo_lóu","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,32,0,0,21,11,0,1,0.548828125,32
"2",2,41,0,0,0,0,41,1,1,41
"3",3,1,29,0,7,18,5,0.935555555555555,0.442222222222222,30
"4",4,17,13,2,2,16,14,0.451171875,0.4453125,32
"5",5,49,29,2,19,28,33,0.5071875,0.3490625,80
"6",6,1,18,0,3,5,11,0.900277008310249,0.429362880886427,19
"7",7,107,132,27,68,127,71,0.418367346938775,0.36454858951891,266
