"","clusterID","层次cénɡ_cí","水平shuǐ_bēnɡ","程度chénɡ_dù","层级cénɡ_jí","级别jí_bié","等级děnɡ_jí","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,11,52,8,0,0,0,6,51,14,0.573100575282682,0.561991668319778,71
"2",2,1,38,8,1,1,0,3,31,15,0.629321116201583,0.497709287796751,49
"3",3,0,43,3,0,0,0,0,37,9,0.878071833648393,0.685255198487713,46
"4",4,0,31,1,0,0,0,3,21,8,0.939453125,0.501953125,32
"5",5,10,73,52,9,12,14,40,69,61,0.29598615916955,0.348858131487889,170
"6",6,14,48,6,0,9,2,5,62,12,0.419964749238904,0.643005928537093,79
"7",7,0,0,14,0,0,0,1,11,2,1,0.642857142857143,14
"8",8,3,0,13,0,0,0,1,10,5,0.6953125,0.4921875,16
"9",9,0,0,23,0,0,0,3,8,12,1,0.410207939508507,23
