"","clusterID","传统chuán_tǒng","习俗xí_sú","习惯xí_ɡuàn","惯例ɡuàn_lì","民俗mín_sú","风俗fēnɡ_sú","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,46,0,0,0,0,0,35,10,1,1,0.6267,46
"2",2,1,1,51,0,0,0,7,13,33,0.9267,0.4653,53
"3",3,92,2,13,9,1,3,44,33,43,0.6061,0.3385,120
"4",4,65,2,14,21,1,0,35,48,20,0.4588,0.3703,103
"5",5,22,0,0,0,0,0,1,20,1,1,0.8306,22
"6",6,112,11,3,0,27,3,51,66,39,0.5511,0.3484,156
