"","clusterID","亲人qīn_rén","亲属qīn_shǔ","家属ɡū_shǔ","亲戚qīn_cù","家人ɡū_rén","家族ɡū_còu","氏族jīnɡ_còu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,6,4,76,0,0,0,0,34,19,33,0.4377,1.068,86
"2",2,4,15,45,6,30,50,1,56,36,59,1.5348,1.0769,151
"3",3,0,0,12,0,8,0,0,6,2,12,0.673,0.8979,20
"4",4,31,8,36,21,141,6,0,53,55,135,1.2768,0.995,243
