"","clusterID","生命shēnɡ_mìnɡ","生活shēnɡ_ɡuō","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,13,0,6,1,6,0,0.911,13
"2",2,36,4,7,20,13,0.3251,1.0169,40
"3",3,50,90,36,45,59,0.6518,1.0782,140
"4",4,33,38,23,27,21,0.6907,1.0931,71
"5",5,0,17,5,3,9,0,1.0027,17
"6",6,0,15,2,10,3,0,0.8609,15
"7",7,25,179,27,132,45,0.372,0.8827,204
