"","clusterID","形势xíng_shì","情况qíng_kuànɡ","情势qíng_shì","情形qíng_xíng","状况zhuànɡ_kuànɡ","状态zhuànɡ_tài","势头shì_tóu","局面jú_miàn","局势jú_shì","现状xiàn_zhuànɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,59,1,4,1,1,0,0,0,0,18,26,24,0.7578,0.3408,68
"2",2,0,10,0,1,7,0,1,4,0,0,5,12,6,0.3157,0.3875,23
"3",3,35,153,13,38,48,43,17,20,31,11,112,181,116,0.1923,0.3513,409
