"top20dca_collo","cluster","concept"
"主办 安排 请 天蝎 举办 450 大头 到场 洪敏麟 唿吁 鸟博览会 旁敲侧击 气球 契而不舍 盛情 双威 特地 邀 邀请 NA",1,"institution_03574555-n"
"各 管理 部门 行政 工作 有关 机关 要 主管 卫生 相关 和 级 检察 省 司法 监督 投资 医疗 单位",2,"institution_03574555-n"
"金融 合併 银行 贷款 其他 财政部 存款 合併法 农贷 商业 信用部 证券 机构 资金 NA NA NA NA NA NA",3,"institution_03574555-n"
"个 国际 民族 权力 巴勒斯坦 政府 主席 变动 私人 阿拉法特 巴 金属 卖出 住宅 研究 该 精简 据 科研 权威",4,"institution_03574555-n"
"公司 、 保险 家 人寿 市场 金融 产品 外资 业务 中国 银行 等 司 分公司 破产 寿险 险 保费 经营",1,"insurance_14539826-n"
"社会 医疗 制度 体系 职工 改革 基本 养老 保障 部门 城镇 劳动 生育 体制 就业 完善 ; 工作 做好 建设",2,"insurance_14539826-n"
"安全 权益 人权 最 提供 更 低 部队 经费 赔偿 缺乏 伤害 能力 供应 民众 为了 装备 后勤 方面 员工",3,"insurance_14539826-n"
"合法 维护 保障 保护 及 法律 民众 争取 者 人民 规定 消费者 应 劳工 职工 妇女 确保 员工 工会 受到",1,"interest_state_13286801-n"
"有限公司 上海 由 创业 集团 股份 澳门 软件 水泥 中国 北京 东方 开发 成都 电器 东南大 金属 科技园 实业 通讯",2,"interest_state_13286801-n"
"元 公司 增长 实现 % 比 亿 国有 年 同期 高 企业 行业 增加 持有 去年 总额 ; 收入 业",3,"interest_state_13286801-n"
"防治 非典 肺炎 非典型 典型 非 北京 预防 联合 防疫 小组 有关 防止 传染病 给予 攻坚战 刘淇 头条 工作 做好",1,"job_00582388-n"
"要 建设 加强 积极 工会 开展 领导 思想 教育 农村 改革 试点 重要 干部 实际 推进 部门 贯彻 坚持 阶段",2,"job_00582388-n"
"人员 不准 救助 组委会 办公室 北京 管理 机关 安全部 奥委会 不辞辛苦 撤离 处方 穿戴 当班 东城 港澳台 红十字会 划价 加倍",3,"job_00582388-n"
"行业 个 企业 从事 等 服务 生产 产品 发展 工业 结构 汽车 协会 成为 产业 机械 竞争 全 石油 医药",4,"job_00582388-n"
"担任 资格 进行 总统 国会 岗位 技能 救灾 秘鲁 书记 正在 就业 做 ; 罢免 辞去 共和国 进展 录取 美国",5,"job_00582388-n"
"高度 关系 中国 给予 唐家璇 澳门 他 俄 对 防治 两国 俄中 访华 扶贫 港澳台 阁下 抗 抗炎 世 双方",1,"judgment_assessment_00874067-n"
"被 比赛 场 犯规 裁判 却 球员 黄卡 因 出示 主 判 球 红卡 足球 名 警告 体育 但 动作",2,"judgment_assessment_00874067-n"
"积极 作出 自己 作 对 根据 环境 可能 评价 正确 高 是否 认为 很 来 其 初步 分析 判断 位",3,"judgment_assessment_00874067-n"
