"","clusterID","食品shí_pǐn","食物shí_wù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,192,15,47,108,52,0.26,1.0231,207
"2",2,94,6,36,38,26,0.227,1.0857,100
"3",3,0,18,0,14,4,0,0.5297,18
"4",4,48,127,42,26,107,0.5875,0.9266,175
