"","clusterID","教授jiāo_shòu","教育jiāo_yō","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,7,266,119,6,148,0.1192,0.7778,273
"2",2,96,10,49,22,35,0.3125,1.0489,106
"3",3,104,17,25,32,64,0.4059,1.0144,121
