"","clusterID","竞争jìnɡ_zhēnɡ","竞赛jìnɡ_sài","比赛bǐ_sài","赛事sài_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,15,0,0,0,5,4,6,0,1.0852,15
"2",2,64,2,0,0,22,22,22,0.1358,1.0986,66
"3",3,0,0,78,2,9,44,27,0.1169,0.9412,80
"4",4,0,0,68,4,3,47,22,0.2146,0.7731,72
"5",5,6,1,49,0,5,28,23,0.428,0.9278,56
"6",6,5,11,28,5,12,19,18,1.1209,1.0798,49
"7",7,1,7,139,15,22,110,30,0.5189,0.8463,162
