"","clusterID","工资ɡōnɡ_zī","报酬bào_chóu","薪水xīn_shuǐ","薪资xīn_zī","薪酬xīn_chóu","薪金xīn_jīn","酬劳chóu_láo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,35,2,20,12,5,10,3,28,21,38,0.251948738274541,0.35262253930506,87
"2",2,14,0,16,7,6,12,0,18,7,30,0.225123966942149,0.420826446280992,55
"3",3,17,6,15,2,15,14,21,21,8,61,0.174814814814815,0.521728395061728,90
"4",4,75,13,22,19,6,19,1,40,54,61,0.292903225806452,0.342851196670135,155
"5",5,32,0,1,1,0,9,0,5,0,38,0.598702001081666,0.79448350459708,43
"6",6,24,0,0,0,0,0,0,0,18,6,1,0.625,24
"7",7,42,0,0,0,2,1,1,0,18,28,0.83648393194707,0.523629489603025,46
