"","clusterID","船只chuán_zhī","船舶chuán_bó","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,114,0,114,0,0,1,1,114
"2",2,41,21,21,30,11,0.552029136316337,0.380332986472425,62
"3",3,1,22,5,16,2,0.916824196597354,0.53875236294896,23
"4",4,8,3,5,4,2,0.603305785123967,0.371900826446281,11
"5",5,16,13,15,14,0,0.505350772889417,0.500594530321046,29
"6",6,69,12,22,38,21,0.747599451303155,0.361073007163542,81
"7",7,13,21,3,29,2,0.527681660899654,0.738754325259516,34
"8",8,5,27,7,22,3,0.736328125,0.529296875,32
"9",9,19,1,4,7,9,0.905,0.365,20
"10",10,39,55,33,50,11,0.514486192847442,0.419873245812585,94
