"","clusterID","团体qiú_bèn","机构jī_ɡòu","组织zǔ_zhī","集团jí_qiú","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,26,13,16,41,29,34,33,1.2865,1.0963,96
"2",2,0,34,1,69,28,35,41,0.6824,1.0867,104
"3",3,0,0,36,0,13,18,5,0,0.9886,36
"4",4,0,6,23,0,6,21,2,0.5098,0.7441,29
"5",5,28,75,116,16,61,131,43,1.1494,0.9866,235
