"","clusterID","心情xīn_qíng","情绪qíng_xù","感觉ɡǎn_jiào","气氛qǐ_fēn","风气fēnɡ_qǐ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,75,30,110,16,1,44,43,145,1.1913,0.9215,232
"2",2,19,91,23,54,21,68,40,100,1.4054,1.0347,208
"3",3,4,1,2,53,0,18,18,24,0.4717,1.0889,60
