"","clusterID","食品shí_pǐn","食物shí_wù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,192,15,47,108,52,0.8656,0.3869,207
"2",2,94,6,36,38,26,0.8872,0.3416,100
"3",3,0,18,0,14,4,1,0.6543,18
"4",4,48,127,42,26,107,0.6019,0.4535,175
