"","clusterID","船只chuán_zhī","船舶chuán_bó","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,114,0,114,0,0,0,0,114
"2",2,41,21,21,30,11,0.6402,1.0248,62
"3",3,1,22,5,16,2,0.1788,0.7966,23
"4",4,8,3,5,4,2,0.586,1.0362,11
"5",5,16,13,15,14,0,0.6878,0.6926,29
"6",6,69,12,22,38,21,0.4195,1.0591,81
"7",7,13,21,3,29,2,0.6652,0.5165,34
"8",8,5,27,7,22,3,0.4334,0.812,32
"9",9,19,1,4,7,9,0.1985,1.0487,20
"10",10,39,55,33,50,11,0.6786,0.9543,94
