"","clusterID","少年shǎo_nián","青少年jīnɡ_shǎo_nián","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,43,20,28,17,0.64,1.0762,65
"2",2,25,10,7,24,4,0.5983,0.8285,35
"3",3,70,18,39,15,34,0.5066,1.0297,88
"4",4,22,177,63,86,50,0.3477,1.0737,199
"5",5,15,0,0,1,14,0,0.2449,15
"6",6,44,54,42,21,35,0.6879,1.0609,98
