"","clusterID","广播ān_bō","节目jiē_mù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,38,6,16,16,12,0.3983,1.0901,44
"2",2,55,0,15,27,13,0,1.0446,55
"3",3,36,33,19,22,28,0.6922,1.0856,69
"4",4,60,272,112,63,157,0.4725,1.0361,332
