"","主张zhǔ_zhānɡ","位置lì_zhì","姿势zī_shì","姿态zī_tài","态度tài_dù","看法kān_fǎ","立场lì_chánɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"cluster1",3,56,2,1,16,3,3,22,24,38,1.0849,1.0677,84
"cluster2",0,0,0,0,28,4,3,14,9,12,0.637,1.0828,35
"cluster3",70,0,0,3,16,33,99,115,68,38,1.2563,1.0053,221
"cluster4",11,1,3,10,83,37,15,61,27,72,1.3646,1.0272,160
