"","clusterID","前景jiǎn_jǐnɡ","期望jī_wànɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,67,20,14,34,0.971020761245675,0.378892733564014,68
"2",2,64,78,53,50,39,0.504860146796271,0.338722475699266,142
"3",3,30,0,2,27,1,1,0.815555555555556,30
"4",4,33,0,10,14,9,1,0.346189164370983,33
"5",5,24,0,4,17,3,1,0.545138888888889,24
"6",6,47,0,11,33,3,1,0.551833408782254,47
"7",7,132,24,42,53,61,0.739644970414201,0.340811965811966,156
