"","clusterID","办法bàn_fǎ","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","方法fānɡ_fǎ","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,1,1,69,6,1,60,18,0,0.789,0.645,78
"2",2,0,4,0,33,0,6,13,18,0.8072,0.3864,37
"3",3,56,35,130,101,63,163,94,128,0.239,0.3494,385
