"","clusterID","买卖mǎi_mài","交易jiāo_yì","生意shēnɡ_yī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,8,9,99,14,14,88,0.518,0.72,116
"2",2,0,20,0,8,9,3,0,1.0104,20
"3",3,3,19,8,5,8,17,0.872,0.973,30
"4",4,7,27,5,15,14,10,0.8262,1.0842,39
"5",5,0,35,0,20,6,9,0,0.9713,35
"6",6,2,47,0,16,15,18,0.1705,1.0957,49
"7",7,4,67,2,22,42,9,0.3364,0.9376,73
"8",8,12,5,0,12,3,2,0.6058,0.8037,17
"9",9,6,23,0,13,4,12,0.5098,0.998,29
"10",10,9,82,1,40,33,19,0.3791,1.0557,92
