"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"－"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"，"	7	0	3.799	3.201	1.858	-1.858	3.716	"1_&_2"
"、"	58	0	31.481	26.519	15.392	-15.392	30.784	"1_&_2"
"﹑"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
":"	0	6	3.257	2.743	-2.039	2.039	4.078	"1_&_2"
"："	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"("	1	2	1.628	1.372	-0.361	0.361	0.722	"1_&_2"
")"	1	2	1.628	1.372	-0.361	0.361	0.722	"1_&_2"
"0091"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"１"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"12.3"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"130多"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"2.60"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"20％"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"20世纪"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"22日电"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"270"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"400多"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"80万"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"891003"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"891205"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"ABS"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"DEXTROMETHORPHAN"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"DII"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"DM"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"DNA"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"finasteride"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"PNTR"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"PPA"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"Rg3"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"SM"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"Sonic"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"SPF"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"X"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"一些"	1	12	7.056	5.944	-3.203	3.203	6.406	"1_&_2"
"一切"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"一半"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"一季度"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"一波波"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"一点零一"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"一般人"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"一起"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"一路"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"七一年"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"三代"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"上将"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"上扬"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"上涨"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
