"","clusterID","太太tā_tā","妻子qī_zǐ","爱人ài_rén","老婆lǎo_pó","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,48,119,2,13,59,29,94,0.8674,0.9991,182
"2",2,7,113,0,3,8,14,101,0.3316,0.5869,123
"3",3,5,16,0,2,0,6,17,0.7966,0.574,23
"4",4,56,74,12,30,22,17,133,1.2186,0.6906,172
