"","clusterID","实验shí_yàn","尝试chánɡ_shì","试验shì_yàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,119,3,48,48,94,28,0.678,0.9817,170
"2",2,27,2,74,17,70,16,0.6651,0.8491,103
"3",3,49,141,37,60,59,108,0.9224,1.0553,227
