"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"！"	4	0	0	0	0	0	0	0	0	0.663	0.441	0.234	0.506	0.461	0.282	1.042	0.08	0.292	3.122	-0.203	-0.105	-0.235	-0.213	-0.127	-0.524	-0.035	-0.131	4.695	"1"
"10"	0	0	0	2	0	0	0	0	0	0.331	0.221	0.117	0.253	0.231	0.141	0.521	0.04	0.146	-0.157	-0.101	-0.052	1.796	-0.106	-0.063	-0.262	-0.017	-0.066	2.62	"4"
"1000亿"	0	0	0	1	0	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	-0.051	-0.026	0.898	-0.053	-0.032	-0.131	-0.009	-0.033	1.312	"4"
"10多"	0	1	0	0	0	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	0.958	-0.026	-0.059	-0.053	-0.032	-0.131	-0.009	-0.033	1.38	"2"
"10年"	0	0	0	0	0	0	1	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	-0.051	-0.026	-0.059	-0.053	-0.032	0.584	-0.009	-0.033	0.926	"7"
"120"	0	0	0	0	1	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	-0.051	-0.026	-0.059	0.938	-0.032	-0.131	-0.009	-0.033	1.358	"5"
"20年"	0	0	0	1	0	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	-0.051	-0.026	0.898	-0.053	-0.032	-0.131	-0.009	-0.033	1.312	"4"
"2年"	1	0	0	0	0	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	0.781	-0.051	-0.026	-0.059	-0.053	-0.032	-0.131	-0.009	-0.033	1.175	"1"
"5"	0	0	0	7	0	0	0	0	0	1.16	0.772	0.41	0.885	0.807	0.493	1.823	0.14	0.51	-0.551	-0.355	-0.183	6.286	-0.372	-0.222	-0.917	-0.061	-0.23	9.177	"4"
"5年"	0	3	0	0	0	0	0	0	0	0.497	0.331	0.176	0.379	0.346	0.211	0.781	0.06	0.219	-0.236	2.873	-0.079	-0.176	-0.16	-0.095	-0.393	-0.026	-0.099	4.137	"2"
"6年"	0	1	0	0	0	0	0	0	0	0.166	0.11	0.059	0.126	0.115	0.07	0.26	0.02	0.073	-0.079	0.958	-0.026	-0.059	-0.053	-0.032	-0.131	-0.009	-0.033	1.38	"2"
