"","clusterID","产业chǎn_yè","制造业zhì_cāo_yè","工业ɡōnɡ_yè","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,88,33,178,99,141,59,0.912,1.0407,299
"2",2,175,1,25,78,110,13,0.4062,0.8743,201
