"","clusterID","导弹dǎo_dàn","飞弹fēi_dàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,66,56,62,31,29,0.5033593120129,0.379333512496641,122
"2",2,49,47,47,13,36,0.500217013888889,0.398654513888889,96
"3",3,52,6,9,27,22,0.814506539833532,0.384661117717004,58
"4",4,32,10,11,17,14,0.63718820861678,0.343537414965986,42
"5",5,119,63,68,62,52,0.547337278106509,0.337278106508876,182
