"","clusterID","地位de_lì","职位zhí_lì","职务zhí_wù","身份juān_bīn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,67,19,23,78,51,58,78,1.2226,1.0822,187
"2",2,18,0,0,0,4,12,2,0,0.8487,18
"3",3,96,2,0,3,25,48,28,0.2304,1.0548,101
"4",4,1,1,1,74,49,7,21,0.2074,0.86,77
"5",5,0,4,11,0,9,3,3,0.5799,0.9503,15
"6",6,8,20,68,6,46,32,24,0.9561,1.0633,102
