"","clusterID","政党zhēnɡ_dǎnɡ","党派dǎnɡ_bài","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,42,0,38,4,0,0,0.3145,42
"2",2,32,2,33,1,0,0.2237,0.1327,34
"3",3,62,1,47,11,5,0.0815,0.7244,63
"4",4,0,11,11,0,0,0,0,11
"5",5,17,1,15,3,0,0.2146,0.4506,18
"6",6,17,22,14,6,19,0.6849,1.0061,39
"7",7,35,6,14,5,22,0.4163,0.9575,41
"8",8,19,4,13,8,2,0.462,0.9022,23
"9",9,182,47,171,37,21,0.5076,0.7317,229
