"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"--"	9	25	0	8	4.752	33.43	1.277	2.541	1.372	-2.625	-0.563	2.479	7.039	"2"
"."	3	5	0	0	0.905	6.368	0.243	0.484	1.281	-0.674	-0.107	-0.217	2.279	"1"
"」"	8	13	0	0	2.376	16.715	0.639	1.27	2.855	-1.32	-0.282	-0.569	5.026	"1"
"■"	2	0	0	0	0.226	1.592	0.061	0.121	1.893	-1.381	-0.027	-0.054	3.355	"1"
"123"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"151周年"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"18日"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"1954年"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"1955年"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"20周年"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"53"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"6时"	0	2	0	0	0.226	1.592	0.061	0.121	-0.104	0.198	-0.027	-0.054	0.383	"2"
"7时"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"891001"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"891226"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"8时"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"900104"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"900118"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"9时"	1	0	0	0	0.113	0.796	0.03	0.06	0.946	-0.69	-0.013	-0.027	1.676	"1"
"DevelopmentAgency"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"GSP"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"HERISHAWARD"	1	0	0	0	0.113	0.796	0.03	0.06	0.946	-0.69	-0.013	-0.027	1.676	"1"
"m.net"	1	0	0	0	0.113	0.796	0.03	0.06	0.946	-0.69	-0.013	-0.027	1.676	"1"
"Singapore"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"一拜"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
"一日"	0	2	0	0	0.226	1.592	0.061	0.121	-0.104	0.198	-0.027	-0.054	0.383	"2"
"一月"	0	2	0	0	0.226	1.592	0.061	0.121	-0.104	0.198	-0.027	-0.054	0.383	"2"
"一楼"	0	1	0	0	0.113	0.796	0.03	0.06	-0.052	0.099	-0.013	-0.027	0.191	"2"
